Manager_Id,First_name,Last_name,DOB,Age,gender,department,Salary
10001,Bob,Sam,1994-12-02,30,M,IT,60000
10002,Chris,John,1994-12-04,30,M,Sales,65000
10003,Teena,Sam,1995-12-02,29,F,IT,70000
10004,Gill,mathew,1994-12-02,30,M,HR,80000
10006,Rohit,Sharma,1988-12-06,36,M,IT,60000
10007,Sanju,Samson,1994-12-02,30,M,HR,35000
10008,Smrthi,Mandana,1994-06-02,30,F,IT,25000
10009,Sherlin,VS,1988-08-02,36,F,Sales,10000
10010,Renjitha,Sam,1980-12-02,44,F,HR,70000
10011,Shilpa,Shyamdas,1994-12-02,30,F,IT,15000
10012,Rekha,S,1990-01-02,34,F,Sales,45000
10013,Vikas,Moorthy,1991-06-02,33,M,IT,30000
10014,Vipin,Sam,1987-03-02,37,M,HR,60000
10015,Jojo,Kurian,1989-11-05,35,M,IT,90000
