Customer_Id,First_name,Last_name,Email,Phone_no,Address,City,State,Zip_code,Country
1,John,Doe,john.doe@example.com,1234567890,"123 Elm St","New York",NY,10001,USA
2,Jane,Smith,jane.smith@example.com,0987654321,"456 Oak St","Los Angeles",CA,90001,USA
3,Robert,Johnson,robert.johnson@example.com,1122334455,"789 Pine St",Chicago,IL,60601,USA
4,Emily,Davis,emily.davis@example.com,2233445566,"101 Maple St",Houston,TX,77001,USA
5,Michael,Miller,michael.miller@example.com,3344556677,"202 Birch St",Phoenix,AZ,85001,USA
6,Sarah,Wilson,sarah.wilson@example.com,4455667788,"303 Cedar St",Philadelphia,PA,19101,USA
7,David,Moore,david.moore@example.com,5566778899,"404 Redwood St","San Antonio",TX,78201,USA
8,Olivia,Taylor,olivia.taylor@example.com,6677889900,"505 Cedar St",Dallas,TX,75201,USA
9,William,Anderson,william.anderson@example.com,7788990011,"606 Maple St","San Diego",CA,92101,USA
10,Sophia,Thomas,sophia.thomas@example.com,8899001122,"707 Oak St",Austin,TX,73301,USA
